RMS,Skewness,Kurtosis,Mean,StdDev,PeakFreq,SpectralCentroid,SpectralSpread,SpectralFlatness,FaultType,Severity,FileName
0.138265667560949,-0.0248080514103824,2.96450605870473,0.0152633117198935,0.137426343816415,3365,3000,2.44950320835208e-12,0.299065119688047,Ball,Small,B007_0.mat
0.13847130515995,0.0174130490452339,2.9836384027184,0.00420858592149036,0.138413101521487,3478,3000,1.81956604979572e-12,0.299095748174045,Ball,Small,B007_1.mat
0.144330626314359,-0.00616679571775655,2.72453225231969,0.0048487021590153,0.144255169436526,3432,3000,1.04169416154329e-12,0.323563910899689,Ball,Small,B007_2.mat
0.154804587270351,0.0359554930887642,2.83299729484056,0.00342817987691284,0.1547730727485,3380,3000,8.59965915434901e-13,0.288017764045256,Ball,Small,B007_3.mat
0.176974489022637,0.0831093792495636,10.4399207907524,0.00501320833666002,0.176910840898645,1437,3000,9.22371938312324e-13,0.36792501295335,Ball,Medium,B014_0.mat
0.147177154390385,0.0641470237988104,7.84075902431142,0.00455485700931471,0.147112785190048,360,3000,1.19048632160596e-12,0.325250556608354,Ball,Medium,B014_1.mat
0.136895212517077,0.0138831406237842,6.28344839196502,0.00482956188622754,0.136815695079005,360,3000,1.12697011270518e-12,0.357715696184522,Ball,Medium,B014_2.mat
0.125276800783457,-0.0656605898248894,8.82162464847412,0.0045550871257485,0.125199178240118,360,3000,9.22883832344458e-13,0.358152824448134,Ball,Medium,B014_3.mat
0.115356696604331,0.052483504558538,3.59141884145108,0.0141363367897538,0.114492025059742,3208,3000,8.25334357320052e-13,0.411833010002157,Ball,Large,B021_0.mat
0.151414319136317,-0.106757160701234,9.96591547151073,0.00430009104457752,0.151359553379988,3385,3000,2.61980305804318e-12,0.374278343400402,Ball,Large,B021_1.mat
0.105022009573846,-0.0141931658267271,3.3451054930389,0.00453941213572854,0.104928231314876,3345,3000,8.93476261148745e-13,0.436782556551439,Ball,Large,B021_2.mat
0.116355136028597,0.042637784836646,3.05150843630632,0.00457214281437127,0.116270115472396,3300,3000,9.26262455060724e-13,0.403001484868202,Ball,Large,B021_3.mat
0.289302212123203,0.126774546362486,5.63210630979597,0.0151357324617432,0.28891804318618,3587,3000,3.52875302715926e-12,0.36310342226462,InnerRace,Small,IR007_0.mat
0.293136635573232,0.159998047826733,5.38572361789153,0.00578244696606786,0.29309180983046,3539,3000,8.41590475584584e-13,0.370265381780183,InnerRace,Small,IR007_1.mat
0.297809993002507,0.0839355797343612,5.53665285662886,0.0043467776081171,0.297790677149563,2862,3000,2.67245245726075e-12,0.346437029466213,InnerRace,Small,IR007_2.mat
0.31234598771021,-0.0139885620525385,5.21996762216798,0.00455603466400532,0.312325771488311,2507,3000,1.77902723936021e-12,0.295643901344606,InnerRace,Small,IR007_3.mat
0.207048812363751,-0.0567193876225281,21.0500305200603,0.0489941846739853,0.201176920268724,0,3000,1.51958129095647e-12,0.317968842092986,InnerRace,Medium,IR014_0.mat
0.162529186594396,-0.0884542581951838,25.2998110783659,0.00317028703592815,0.16250503509845,3372,3000,1.17084726997752e-12,0.326375185696951,InnerRace,Medium,IR014_1.mat
0.167207775045596,-0.010077889765632,21.8251521648284,0.00343536763140386,0.167179446600202,3681,3000,7.53961206822655e-13,0.374689863131011,InnerRace,Medium,IR014_2.mat
0.176869272565401,-0.0380550071131958,16.5263699028335,0.00295072888556221,0.17685202617854,1387,3000,2.21517951087381e-12,0.319894441785979,InnerRace,Medium,IR014_3.mat
0.517911651178938,0.329875747774541,7.18020103265432,0.0197690321024617,0.517555780371007,2885,3000,8.9195068039831e-13,0.305471911109689,InnerRace,Large,IR021_0.mat
0.445555254871954,0.199254945135114,7.19035832274279,0.0028179110944777,0.445564909444688,2847,3000,1.96206492331624e-12,0.258791496890058,InnerRace,Large,IR021_1.mat
0.489938515896588,0.29251219936014,8.40818651799409,0.00375698918829007,0.489944525629558,2870,3000,1.82506575165797e-12,0.275037714686006,InnerRace,Large,IR021_2.mat
0.450657101716205,0.362796842326821,8.09058977084421,0.00308362789421158,0.450665329821238,2830,3000,1.88519686262071e-12,0.253190360542879,InnerRace,Large,IR021_3.mat
0.232897070325618,-0.00712502176968285,7.4107856350468,0.0140697248502994,0.232481380275727,3429,3000,7.436012960005e-13,0.314137977074911,OuterRace,Small,OR007@12_0.mat
0.249850123266534,-0.0231098975166298,6.8283707749136,0.00380917147371923,0.249831494459008,3311,3000,7.67393961888303e-13,0.258678197189062,OuterRace,Small,OR007@12_1.mat
0.278063316817114,-0.0197779067643147,9.36395015372109,0.00385983769793746,0.278048111619155,3329,3000,2.20656154571249e-12,0.330717454411441,OuterRace,Small,OR007@12_2.mat
0.263141230074912,-0.0315146898553617,8.07373984503638,0.00377977071523619,0.263125046060804,3279,3000,1.82112977885272e-12,0.265821750303164,OuterRace,Small,OR007@12_3.mat
0.764663585579742,0.0657231284103767,4.28985070270966,0.00683232612275449,0.764664923001219,2802,3000,3.48369602897791e-12,0.202477607988607,OuterRace,Small,OR007@3_0.mat
0.852945288214404,0.0742996215526864,3.99270588518324,0.00658339428642714,0.852955421667959,2707,3000,3.65301009090623e-12,0.188847913162921,OuterRace,Small,OR007@3_1.mat
0.853491610744427,0.0748492593083101,3.99391132792594,0.00550245617930806,0.85350943704041,2672,3000,3.65768893815459e-12,0.205598583189576,OuterRace,Small,OR007@3_2.mat
0.789756345777909,0.081301381178682,3.9908422506211,0.00767577053393215,0.78975195088195,2634,3000,9.90381100094664e-13,0.193650374996149,OuterRace,Small,OR007@3_3.mat
0.676407870010143,0.0827390413531935,7.62069095594207,0.0337208899617432,0.675594955505026,3445,3000,1.11699242497399e-12,0.284885656453689,OuterRace,Small,OR007@6_0.mat
0.600529994168869,0.0321907641859881,7.5446399504347,0.0036893755655356,0.600543684337339,2870,3000,6.76474447936998e-13,0.250368969294819,OuterRace,Small,OR007@6_1.mat
0.562147552519926,0.013862443585687,7.82189880086533,0.00427485268629408,0.562154721821546,2833,3000,7.45596959351047e-13,0.262177140084424,OuterRace,Small,OR007@6_2.mat
0.566940791499936,0.00489222087343089,8.05391992715206,0.00458283646041252,0.566945891874681,3413,3000,1.302042515354e-12,0.246713621440549,OuterRace,Small,OR007@6_3.mat
0.104708734743589,0.0106639318807231,3.0760568069111,0.0187568463173653,0.103019339267854,0,3000,8.59280947975083e-13,0.422740996219221,OuterRace,Medium,OR014@6_0.mat
0.0917001400410519,0.0547437052305955,2.93913708492668,0.0030687213772455,0.0916525976130054,3371,3000,8.61989884754915e-13,0.394196610457518,OuterRace,Medium,OR014@6_1.mat
0.0983319543933149,0.0106703517253605,3.08343597009307,0.00305861904191617,0.0982884690912169,3484,3000,1.76605446554871e-12,0.374857196749535,OuterRace,Medium,OR014@6_2.mat
0.0937015378710144,-0.0166718168229333,3.08667947292758,0.00301148044910179,0.0936570347326389,3432,3000,7.36875020628679e-13,0.464163111665616,OuterRace,Medium,OR014@6_3.mat
0.409599171318513,-0.316700041626244,35.4388588033052,0.0905480079258151,0.399481962327877,0,3000,1.06292506319185e-12,0.276377447259071,OuterRace,Large,OR021@12_0.mat
0.359359122459905,-0.438752112481301,35.3293955255037,0.00676999164171656,0.35931031820288,3424,3000,9.73113163675827e-13,0.285349925814362,OuterRace,Large,OR021@12_1.mat
0.3342448125975,-0.423228420745265,36.1396061042259,0.00332646841317365,0.334242186410043,3463,3000,8.41286047658069e-13,0.267454855518754,OuterRace,Large,OR021@12_2.mat
0.308358459895242,-0.43916896700088,32.3943328557288,0.00318064904357951,0.308354904003264,3506,3000,1.93026150156375e-12,0.275232087853193,OuterRace,Large,OR021@12_3.mat
